,Year,Series,Value
Burkina Faso,2017,Consumer price index: Food,117.6417
Burundi,1995,Consumer price index: General,17.4823
Burundi,2005,Consumer price index: General,61.2933
Burundi,2010,Consumer price index: General,100
Burundi,2015,Consumer price index: General,154.0236
Burundi,2016,Consumer price index: General,162.5837
Burundi,2017,Consumer price index: General,188.6825
Burundi,2018,Consumer price index: General,183.3717
Burundi,2005,Consumer price index: Food,57.6943
Burundi,2010,Consumer price index: Food,100
Burundi,2015,Consumer price index: Food,147.0658
Burundi,2016,Consumer price index: Food,157.6212
Burundi,2017,Consumer price index: Food,195.3879
Cabo Verde,1995,Consumer price index: General,64.368
Cabo Verde,2005,Consumer price index: General,82.5763
Cabo Verde,2010,Consumer price index: General,100
Cabo Verde,2015,Consumer price index: General,108.6298
Cabo Verde,2016,Consumer price index: General,107.1007
Cabo Verde,2017,Consumer price index: General,107.9258
Cabo Verde,2018,Consumer price index: General,109.2887
Cabo Verde,2010,Consumer price index: Food,100
Cabo Verde,2015,Consumer price index: Food,108.9949
Cabo Verde,2016,Consumer price index: Food,108.3058
Cabo Verde,2017,Consumer price index: Food,108.1006
Cabo Verde,2018,Consumer price index: Food,108.5894
Cambodia,1995,Consumer price index: General,43.0821
Cambodia,2005,Consumer price index: General,67.7615
Cambodia,2010,Consumer price index: General,100
Cambodia,2015,Consumer price index: General,117.4933
Cambodia,2016,Consumer price index: General,121.0715
Cambodia,2017,Consumer price index: General,124.5715
Cambodia,2016,Consumer price index: Food,200.0333
Cambodia,2017,Consumer price index: Food,206.7308
Cameroon,1995,Consumer price index: General,66.9906
Cameroon,2005,Consumer price index: General,85.7496
Cameroon,2010,Consumer price index: General,100
Cameroon,2015,Consumer price index: General,112.8675
Cameroon,2016,Consumer price index: General,113.8542
Cameroon,2017,Consumer price index: General,114.5833
Cameroon,2018,Consumer price index: General,115.808
Cameroon,2015,Consumer price index: Food,109.7518
Cameroon,2016,Consumer price index: Food,110.9349
Cameroon,2017,Consumer price index: Food,110.9639
Canada,1995,Consumer price index: General,75.1717
Canada,2005,Consumer price index: General,91.8503
Canada,2010,Consumer price index: General,100
Canada,2015,Consumer price index: General,108.672
Canada,2016,Consumer price index: General,110.2247
Canada,2017,Consumer price index: General,111.9848
Canada,2018,Consumer price index: General,114.5249
Canada,1995,Consumer price index: Food,70.6054
Canada,2005,Consumer price index: Food,86.4504
