,Year,Series,Value
Benin,2012,Emissions per capita (metric tons of carbon dioxide),0.6
Benin,2013,Emissions per capita (metric tons of carbon dioxide),0.6
Benin,2014,Emissions per capita (metric tons of carbon dioxide),0.6
Bermuda,1975,Emissions (thousand metric tons of carbon dioxide),458
Bermuda,1985,Emissions (thousand metric tons of carbon dioxide),451
Bermuda,1995,Emissions (thousand metric tons of carbon dioxide),532
Bermuda,2005,Emissions (thousand metric tons of carbon dioxide),583
Bermuda,2010,Emissions (thousand metric tons of carbon dioxide),609
Bermuda,2012,Emissions (thousand metric tons of carbon dioxide),477
Bermuda,2013,Emissions (thousand metric tons of carbon dioxide),458
Bermuda,2014,Emissions (thousand metric tons of carbon dioxide),576
Bermuda,1975,Emissions per capita (metric tons of carbon dioxide),8.5
Bermuda,1985,Emissions per capita (metric tons of carbon dioxide),7.8
Bermuda,1995,Emissions per capita (metric tons of carbon dioxide),8.7
Bermuda,2005,Emissions per capita (metric tons of carbon dioxide),9.1
Bermuda,2010,Emissions per capita (metric tons of carbon dioxide),9.5
Bermuda,2012,Emissions per capita (metric tons of carbon dioxide),7.5
Bermuda,2013,Emissions per capita (metric tons of carbon dioxide),7.3
Bermuda,2014,Emissions per capita (metric tons of carbon dioxide),9.2
Bhutan,1975,Emissions (thousand metric tons of carbon dioxide),4
Bhutan,1985,Emissions (thousand metric tons of carbon dioxide),62
Bhutan,1995,Emissions (thousand metric tons of carbon dioxide),249
Bhutan,2005,Emissions (thousand metric tons of carbon dioxide),396
Bhutan,2010,Emissions (thousand metric tons of carbon dioxide),488
Bhutan,2012,Emissions (thousand metric tons of carbon dioxide),818
Bhutan,2013,Emissions (thousand metric tons of carbon dioxide),920
Bhutan,2014,Emissions (thousand metric tons of carbon dioxide),"1,001"
Bhutan,1975,Emissions per capita (metric tons of carbon dioxide),0
Bhutan,1985,Emissions per capita (metric tons of carbon dioxide),0.1
Bhutan,1995,Emissions per capita (metric tons of carbon dioxide),0.5
Bhutan,2005,Emissions per capita (metric tons of carbon dioxide),0.6
Bhutan,2010,Emissions per capita (metric tons of carbon dioxide),0.7
Bhutan,2012,Emissions per capita (metric tons of carbon dioxide),1.1
Bhutan,2013,Emissions per capita (metric tons of carbon dioxide),1.2
Bhutan,2014,Emissions per capita (metric tons of carbon dioxide),1.3
Bolivia (Plurin. State of),1975,Emissions (thousand metric tons of carbon dioxide),"4,059"
Bolivia (Plurin. State of),1985,Emissions (thousand metric tons of carbon dioxide),"4,125"
Bolivia (Plurin. State of),1995,Emissions (thousand metric tons of carbon dioxide),"9,850"
Bolivia (Plurin. State of),2005,Emissions (thousand metric tons of carbon dioxide),"12,185"
Bolivia (Plurin. State of),2010,Emissions (thousand metric tons of carbon dioxide),"15,203"
Bolivia (Plurin. State of),2012,Emissions (thousand metric tons of carbon dioxide),"18,793"
Bolivia (Plurin. State of),2013,Emissions (thousand metric tons of carbon dioxide),"18,918"
Bolivia (Plurin. State of),2014,Emissions (thousand metric tons of carbon dioxide),"20,411"
Bolivia (Plurin. State of),1975,Emissions per capita (metric tons of carbon dioxide),0.8
Bolivia (Plurin. State of),1985,Emissions per capita (metric tons of carbon dioxide),0.7
Bolivia (Plurin. State of),1995,Emissions per capita (metric tons of carbon dioxide),1.3
Bolivia (Plurin. State of),2005,Emissions per capita (metric tons of carbon dioxide),1.3
Bolivia (Plurin. State of),2010,Emissions per capita (metric tons of carbon dioxide),1.5
Bolivia (Plurin. State of),2012,Emissions per capita (metric tons of carbon dioxide),1.8
Bolivia (Plurin. State of),2013,Emissions per capita (metric tons of carbon dioxide),1.8
Bolivia (Plurin. State of),2014,Emissions per capita (metric tons of carbon dioxide),1.9
"Bonaire, St. Eustatius & Saba",2012,Emissions (thousand metric tons of carbon dioxide),312
"Bonaire, St. Eustatius & Saba",2013,Emissions (thousand metric tons of carbon dioxide),323
"Bonaire, St. Eustatius & Saba",2014,Emissions (thousand metric tons of carbon dioxide),323
"Bonaire, St. Eustatius & Saba",2012,Emissions per capita (metric tons of carbon dioxide),13.6
"Bonaire, St. Eustatius & Saba",2013,Emissions per capita (metric tons of carbon dioxide),13.6
"Bonaire, St. Eustatius & Saba",2014,Emissions per capita (metric tons of carbon dioxide),13.3
Bosnia and Herzegovina,1995,Emissions (thousand metric tons of carbon dioxide),"3,429"
Bosnia and Herzegovina,2005,Emissions (thousand metric tons of carbon dioxide),"16,204"
Bosnia and Herzegovina,2010,Emissions (thousand metric tons of carbon dioxide),"21,276"
Bosnia and Herzegovina,2012,Emissions (thousand metric tons of carbon dioxide),"22,259"
Bosnia and Herzegovina,2013,Emissions (thousand metric tons of carbon dioxide),"21,921"
Bosnia and Herzegovina,2014,Emissions (thousand metric tons of carbon dioxide),"22,233"
Bosnia and Herzegovina,1995,Emissions per capita (metric tons of carbon dioxide),1
Bosnia and Herzegovina,2005,Emissions per capita (metric tons of carbon dioxide),4.3
Bosnia and Herzegovina,2010,Emissions per capita (metric tons of carbon dioxide),5.5
Bosnia and Herzegovina,2012,Emissions per capita (metric tons of carbon dioxide),5.8
Bosnia and Herzegovina,2013,Emissions per capita (metric tons of carbon dioxide),5.7
Bosnia and Herzegovina,2014,Emissions per capita (metric tons of carbon dioxide),5.8
Botswana,1975,Emissions (thousand metric tons of carbon dioxide),187
Botswana,1985,Emissions (thousand metric tons of carbon dioxide),"1,159"
Botswana,1995,Emissions (thousand metric tons of carbon dioxide),"3,047"
Botswana,2005,Emissions (thousand metric tons of carbon dioxide),"4,096"
Botswana,2010,Emissions (thousand metric tons of carbon dioxide),"4,686"
