[T24.],Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
14,Eastern Africa,2016,Arable land (% of total land area),11.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2016,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2016,Forest cover (% of total land area),32.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2005,Land area (thousand hectares),"649,682",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2005,Arable land (thousand hectares),"23,346",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2005,Permanent crops (thousand hectares),"2,762",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2005,Forest cover (thousand hectares),"310,491",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2005,Arable land (% of total land area),3.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2005,Permanent crops (% of total land area),0.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2005,Forest cover (% of total land area),47.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2010,Land area (thousand hectares),"649,682",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2010,Arable land (thousand hectares),"24,364",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2010,Permanent crops (thousand hectares),"3,015",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2010,Forest cover (thousand hectares),"306,378",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2010,Arable land (% of total land area),3.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2010,Permanent crops (% of total land area),0.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2010,Forest cover (% of total land area),47.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2016,Land area (thousand hectares),"649,682",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
