T34,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2017,Net official development assistance received: Bilateral  (millions of US dollars),29948.4800,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,1975,Net official development assistance received: Multilateral (millions of US dollars),925.8700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),1967.9500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),4593.8500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),10531.5600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),16425.0200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2015,Net official development assistance received: Multilateral (millions of US dollars),14268.4400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2016,Net official development assistance received: Multilateral (millions of US dollars),15880.0600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2017,Net official development assistance received: Multilateral (millions of US dollars),16615.9100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,1975,Net official development assistance received: Total (millions of US dollars),3483.2200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
